name,artists,genre,emotion_final_adjusted
"""Eternal""",['Bone Thugs-N-Harmony'],gangster rap,Aşk
"""Farewell"" Symphony",['Deerhoof'],noise rock,Enerji
"""Farewell"" Symphony",Deerhoof,noise rock,Enerji
"""Filthy""",Ayron Jones,,Üzüntü
"""Forbidden""",D'espairsRay,visual kei,Üzüntü
"""From My Cold Dead Hands""",Remembering Never,metalcore,Üzüntü
"""Fuck Me"" Eyes",['Millionaires'],crunk,Enerji
"""Get a Shot of the Refrigerator""",Stereolab,art pop,Mutluluk
"""Gustave! Gustave!...""",Andrew Lloyd Webber,musicals,Üzüntü
"""H"" Friend",['Black Devil Disco Club'],italo dance,Enerji
"""Have It Your Way.""",['Mario Cantone'],musicals,Üzüntü
"""He Was Tall""",Laura Osnes,musicals,Üzüntü
"""Here I am""",HIGH and MIGHTY COLOR,anime,Aşk
"""Heroes"" - 2017 Remastered Version",David Bowie,glam rock,Aşk
"""Heroes"" - Klax Mix Radio Edit","['David Bowie', 'Klax']",glam rock,Üzüntü
"""Heroes"" - Live, Glastonbury, 2000",['David Bowie'],glam rock,Enerji
"""Heroes"" / ""Helden"" - 2001 Remaster",['David Bowie'],glam rock,Üzüntü
"""I Ain't Got No""",Wolfmother,stoner rock,Aşk
"""I Am a Terrifying and Imposing Figure...!""","['Becky Ann Baker', ""Denis O'Hare"", 'James Clow', 'Merwin Foard']",musicals,Sakinlik
"""I Could Carve a Better Man Out of a Banana""",Onsind,folk punk,Aşk
"""I Decided Not To Do Them""",['Latterman'],melodic hardcore,Aşk
"""I Leapt out of the Closet...""","['Beth Malone', 'Sydney Lucas', 'Michael Cerveris', 'Judy Kuhn']",musicals,Üzüntü
"""I Was Born on a Pirate Ship! "" (Holdyourtongue)",Dillinger Four,punk,Üzüntü
"""I'll Take What's in the Box Monty""",The Lawrence Arms,punk,Üzüntü
"""Impossible""",Victoria Clark,musicals,Mutluluk
"""In Loving Memory""",Secrets,post-hardcore,Üzüntü
"""In My Own Little Corner""",Laura Osnes,musicals,Üzüntü
"""Is This My Fate?"" He Asked Them",Story Of The Year,emo,Üzüntü
"""It Was Great to Have You Home...""","['Michael Cerveris', 'Beth Malone']",musicals,Aşk
"""It's Not Easy Being Skinny"" - Live at The Electric Factory, Philadelphia, PA - May 2006",The Fray,,Üzüntü
"""It's Possible""",Victoria Clark,musicals,Mutluluk
"""It's Possible""","[""Rodgers + Hammerstein's Cinderella (Original Broadway Cast)""]",,Mutluluk
"""It’s A Good Day""",['Kay Starr'],christmas,Mutluluk
"""Just Had a Good Talk with Dad...""","['Beth Malone', 'Emily Skeggs', 'Michael Cerveris', 'Joel Perez', 'Sydney Lucas', 'Griffin Birney', 'Noah Hinsdale']",musicals,Aşk
"""Knock The Cover Off The Ball""",Randy Newman,,Üzüntü
"""Ladies and Gentlemen, a Toast!""","[""Denis O'Hare"", 'Jeffrey Kuhn', 'Michael Cerveris']",musicals,Aşk
"""Let Me Introduce You to My Gay Dad...""","['Roberta Colindrez', 'Emily Skeggs', 'Beth Malone', 'Michael Cerveris', 'Judy Kuhn']",musicals,Üzüntü
"""Life Is a Gift""",['Michael Glencer'],,Mutluluk
"""Life""",['$NOT'],,Enerji
"""Loneliness Of Evening""",Santino Fontana;Laura Osnes,,Aşk
"""M"" Is For Morphine",World / Inferno Friendship Society,folk punk,Aşk
"""Ma"" Rainey's Black Bottom",['Ma Rainey'],classic blues,Mutluluk
"""Maybe""",['Zachary Westbrook'],,Aşk
"""Me, Who Am I?""",Santino Fontana,,Mutluluk
"""Mike, Aaron And Eddie""",Haiku D'Etat,underground hip hop,Mutluluk
"""Mother, Did You Watch?""",Andrew Lloyd Webber,musicals,Mutluluk
"""Murder"" He Says",['Tori Amos'],singer-songwriter,Aşk
"""Murder"", He Says",Dinah Shore,big band,Sakinlik
"""Murder"", He Says",['Dinah Shore'],big band,Sakinlik
"""Now, seeing as Henry was running out of women to marry in England...""",SIX,musicals,Üzüntü
"""O, We're Going Home""",Thomas Newman,soundtrack,Üzüntü
"""Ole"" Baugh Road",['Alabama'],classic country,Enerji
"""Ole"" Baugh Road",['Alabama'],classic country,Enerji
"""P"" Is Still Free",['KRS-One'],east coast hip hop,Mutluluk
"""Please Miss Giry, I Want To Go Back...""",Andrew Lloyd Webber,musicals,Aşk
"""President Dead""",Marilyn Manson,industrial metal,Aşk
"""Push It To The Limit"" from the Motion Picture ""Scarface""","['Brian ""Hacksaw"" Williams']",,Mutluluk
"""Push It to the Limit"" from the Motion Picture ""Scarface"" Composed by Giorgio Moroder (feat. Dominik Hauser)","['Brian ""Hacksaw"" Williams']",,Mutluluk
"""Read a Book...""","['Michael Cerveris', 'Sydney Lucas', 'Beth Malone', 'Judy Kuhn']",musicals,Aşk
"""Say I'm the One""",Griffin House,acoustic pop,Üzüntü
"""Shortly After We Were Married...""","['Judy Kuhn', 'Emily Skeggs']",musicals,Üzüntü
"""Smile"" (Final Theme from the Motion Picture ""Modern Times"") - Arranged by Nan Schwartz",Thomas Quasthoff,dub,Üzüntü
"""So I guess you already know what happened next...""",SIX,musicals,Sakinlik
"""Something In the Rain"" (Something In the Rain, Pt. 1) [Music from the Original TV Series]",Rachael Yamagata,,Aşk
"""Sometimes My Father Appeared to Enjoy Having Children...""","['Beth Malone', 'Michael Cerveris', 'Judy Kuhn']",musicals,Sakinlik
"""Sprung On A Thug""",['La La'],,Aşk
"""Stockades""",['Frog Eyes'],art rock,Aşk
"""Sure, Baby...Hold Back.""",Say Anything,pop punk,Aşk
"""T"" For Texas",Johnny Cash,classic country,Mutluluk
"""T"" Stands For Time",['Marvin Gaye'],motown,Aşk
"""Ten Minutes Ago""",Santino Fontana,,Aşk
"""Thanks for the Care Package...""","['Emily Skeggs', 'Roberta Colindrez', 'Sydney Lucas', 'Michael Cerveris']",musicals,Üzüntü
"""That Spells Reno""",Amy Adams,,Sakinlik
"""The Potter Has No Hands""",Norma Jean,mathcore,Aşk
"""The State I'm In"" Aka ""Goode Buy From Cobbs Creek Park""",Karate,slowcore,Üzüntü
"""The Take Over, The Breaks Over""",['Fall Out Boy'],emo,Enerji
"""The Take Over, The Breaks Over""",['Fall Out Boy'],emo,Enerji
"""There's Music in You""",Victoria Clark,musicals,Üzüntü
"""This Is What I Have of You...""",['Beth Malone'],musicals,Üzüntü
"""Tough Guy""",Madball,hardcore,Enerji
"""Unlucky Skin"" - Live from Spotify Nyc",Shakey Graves,indie folk,Aşk
"""V""",['Ted Winn'],gospel,Mutluluk
"""Was He Slow?"" - Music From The Motion Picture Baby Driver",Kid Koala,trip hop,Enerji
"""Was He Slow?"" - Music From The Motion Picture Baby Driver",Kid Koala,trip hop,Enerji
"""Was He Slow?"" - Music From The Motion Picture Baby Driver",['Kid Koala'],trip hop,Enerji
"""Wished I Was A Giant""",['Guided By Voices'],power pop,Üzüntü
"""X"" Marks The Spot",['Swashbuckle'],folk metal,Aşk
"""You Get so Alone at Times That It Just Makes Sense""",['Senses Fail'],post-hardcore,Aşk
"""You Got A Death Wish, Johnny Truant?""",The Fall of Troy,post-hardcore,Üzüntü
"""You Got A Killer Scene There, Man...""",Queens of the Stone Age,stoner rock,Aşk
"""You Ready to Go for That Drive?...""","['Michael Cerveris', 'Beth Malone']",musicals,Üzüntü
"""You're back!""","['Lily James', 'Ansel Elgort']",musicals,Üzüntü
"""Z"" no Chikai - Movie Version",Various Artists,anime,Aşk
"""all aboard""",['SOAK'],,Üzüntü
"""like seeing spiders running riot on your lover's grave"" (feat. Happyalone.)","['Bring Me The Horizon', 'Happyalone.']",metalcore,Üzüntü
"""sometimes you meet the right people at the wrong times""",Can't Swim,pop punk,Üzüntü
#,['Phazer'],jungle,Mutluluk
# FABFAB,['Daniel Perry'],,Aşk
#!*@ You Tonight (feat. R. Kelly),"['The Notorious B.I.G.', 'R. Kelly']",old school hip hop,Aşk
#!*@ You Tonight (feat. R. Kelly) - 2014 Remastered Version,The Notorious B.I.G.,old school hip hop,Mutluluk
##4MyDad,['Lightz'],,Üzüntü
##RR##EFG,['KANKAN'],rage rap,Üzüntü
#0000FF,Jasmine Sokko,chinese r&b,Üzüntü
#1,Imagine Dragons,,Aşk
#1,Kelly Rowland,,Aşk
#1,Gerald Levert,quiet storm,Aşk
#1,Animal Collective,neo-psychedelic,Mutluluk
#1,['Nelly'],,Aşk
#1,['Nelly'],,Aşk
#1 Bad Boy - 2005 Remastered,['Poison'],glam metal,Aşk
#1 Cat in America (Titus Jones Remix) [Remastered],Leslie Hall,,Enerji
#1 Chance Pirate TV,['Team Dresch'],queercore,Üzüntü
#1 Country Song,['The Handsome Family'],southern gothic,Üzüntü
#1 Crush,['Garbage'],,Üzüntü
#1 Crush,['Various Artists'],,Üzüntü
#1 Crush - Nellee Hooper Mix,"['Garbage', 'Nellee Hooper']",,Üzüntü
#1 Da Woman,Tricky,trip hop,Mutluluk
#1 Fan,THE DRIVER ERA,,Enerji
#1 Fan (feat. Keyshia Cole & J. Holiday),['Plies'],southern hip hop,Enerji
#1 Hit Jam,The Brian Jonestown Massacre,neo-psychedelic,Aşk
#1 Hit Record,['Edan'],experimental hip hop,Aşk
#1 Is Number Two,The Soviettes,riot grrrl,Aşk
#1 LUCKY KITTY,The Brian Jonestown Massacre,neo-psychedelic,Üzüntü
#1 Radio $Ingle,Psychostick,,Aşk
#1 Stunna,['$uicideboy$'],emo rap,Aşk
#1 Stunna,Big Tymers,southern hip hop,Aşk
#1 Stunna,Big Tymers,southern hip hop,Aşk
#10,['Velvet Crush'],power pop,Üzüntü
#10 Dream,['Håkan Hellström'],swedish pop,Sakinlik
#104,Alpha Wolf,metalcore,Üzüntü
#13,['AroarA'],,Aşk
#1Fan,Trey Songz,r&b,Üzüntü
#1HappyHoliday,['DRAM'],,Aşk
#1Nite (One Night),Cobra Starship,,Enerji
#1f1e33,['Camellia'],speedcore,Üzüntü
#2,['Pat Green'],texas country,Aşk
#2 In The Model Home Series,['Guided By Voices'],power pop,Aşk
#2 Kraft Paperbag,['Sugarplum Fairies'],,Sakinlik
#3,黃小楨,taiwanese indie,Aşk
#34,['Teodasia'],gothic metal,Üzüntü
"#36 - Live at Continental Airlines Arena, East Rutherford, NJ - September 1999",['Dave Matthews Band'],jam band,Aşk
"#36 - Live at Red Rocks Amphitheatre, Morrison, CO - August 1995",['Dave Matthews Band'],jam band,Mutluluk
#36ghost,['DR!FTWOOD'],,Mutluluk
#4,['Aphex Twin'],idm,Üzüntü
#41,['Dave Matthews Band'],jam band,Aşk
"#41 * - Live at the United Center, Chicago, IL - December 1998",['Dave Matthews Band'],jam band,Aşk
"#41 - Live at Continental Airlines Arena, East Rutherford, NJ - September 1999",['Dave Matthews Band'],jam band,Aşk
"#41 - Live at Luther College, Decorah, IA - February 1996","['Dave Matthews', 'Tim Reynolds']",,Aşk
"#41 - Live at Piazza Napoleone, Lucca, Italy - July 2009",['Dave Matthews Band'],jam band,Aşk
"#41 - Live at Radio City Music Hall, New York, NY - April 2007","['Dave Matthews', 'Tim Reynolds']",,Aşk
#5,['Hank Williams III'],outlaw country,Üzüntü
#513,['Sudan Archives'],alternative r&b,Aşk
#9 Dream,José González,indie folk,Aşk
#9 Dream,['R.E.M.'],jangle pop,Enerji
#9 Dream - Remastered 2010,['John Lennon'],christmas,Aşk
#Addicted,['Riverside'],progressive rock,Üzüntü
#Armageddon - Live,['AJJ'],folk punk,Aşk
#BAD,Skinny Fabulous,soca,Enerji
"#BDAY (feat. Chris Brown, Siya and Sage The Gemini)",Tank,r&b,Aşk
#Bad4Me,Etta Bond,uk r&b,Üzüntü
#Beautiful,Mariah Carey,christmas,Aşk
#Beautiful,"['Mariah Carey', 'Miguel']",christmas,Aşk
#Blessed,['Miss Cherry Delight'],riot grrrl,Mutluluk
#BrooklynBloodPop!,['SyKo'],hyperpop,Enerji
#ColdBlooded,Imperial;JOVANA K,frenchcore,Üzüntü
#Connected,He3b,afrobeats,Mutluluk
#Cookie Jar,Red Velvet,k-pop,Enerji
#FF0000 (untitled_0034),JOHNNASCUS,trap metal,Üzüntü
#FWYB,['Trey Songz'],r&b,Enerji
#Flashdrive,"['BXTH', 'Scky Rei', 'Infntlp']",,Mutluluk
#Freetag,['Kidd Keo'],trap,Enerji
#FriendZoneLive,['The Friendzone'],,Aşk
#Fuzzylittlecat,['Imagination Movers'],children's music,Mutluluk
#Fuzzylittlecat,Imagination Movers,children's music,Mutluluk
#GETITRIGHT,['Miley Cyrus'],,Enerji
#GRABMEABEER - Extended Mix,Wasted Penguinz,hardstyle,Enerji
#Ghosts,The Machine,hardstyle,Üzüntü
#Ghosts - Original Mix,The Machine,hardstyle,Üzüntü
#GirlsSpkOut,"['TAEYEON', 'CHANMINA']",k-pop,Mutluluk
#HoodLove,Jazmine Sullivan,r&b,Aşk
#ImSippinTeaInYoHood,XXXTENTACION,emo rap,Enerji
#Jetsgo,Curren$y,southern hip hop,Aşk
#LETSGO - Live,['Planetshakers'],worship,Enerji
#LITO,['Press Play'],cedm,Enerji
#LittleMissPerfect,['Alex G'],acoustic pop,Aşk
#MOOD,Daddex,emo rap,Mutluluk
#Mine (feat. Kevin Gates),Lil' Kim,east coast hip hop,Enerji
#Monkeybars,Eazy Mac,,Mutluluk
#MyWay - Radio Edit,Ran-D,hardstyle,Enerji
#NEWGOREORDER (feat. Malcolm McDowell),Borgore,dubstep,Enerji
#NeverUseTheInternetAgain,"['Homeboy Sandman', 'Edan']",east coast hip hop,Üzüntü
#NotRealLife,H2O,hardcore punk,Mutluluk
#OIMATEWTF,Capture,metalcore,Üzüntü
#One,['SADBOYMUSIC'],,Aşk
#Onelove,['Web Sheldon'],,Enerji
#PROUDCATOWNERREMIX,XXXTENTACION;Rico Nasty,emo rap,Üzüntü
#REDNEK,['Gord Bamford'],country,Mutluluk
#SELFIE,['The Chainsmokers'],,Enerji
#SINGItForJapan - Single Version,['My Chemical Romance'],emo,Üzüntü
#SameTeam,['Swoope'],christian hip hop,Aşk
#SundayFunday,['MAGIC!'],,Mutluluk
#Tweekay14 - Radio Version,Da Tweekaz,hardstyle,Enerji
#Tweekay16,Da Tweekaz,hardstyle,Aşk
#Twerkit,['Busta Rhymes'],east coast hip hop,Enerji
#Twerkit,Busta Rhymes,east coast hip hop,Enerji
#W W C,['The Main Squeeze'],retro soul,Enerji
#WCW,Devvon Terrell,,Sakinlik
#WHERESTHELOVE - Charity Single,['Black Eyed Peas'],,Aşk
#WW,['Dom Corleo'],rage rap,Enerji
#WhiteGirlVoice,Rajitheone,,Üzüntü
#Winning,That's Outrageous!,post-hardcore,Üzüntü
#YDIA,Zacardi Cortez,gospel,Mutluluk
#deep,Bo Burnham,comedy,Üzüntü
#dog #eat #dog #world,['Autumn!'],underground hip hop,Aşk
#doyalike,['kazeWIW'],,Aşk
#happy,['ero808'],bass house,Aşk
#icanteven,The Neighbourhood,,Üzüntü
#itsEazy,['Eazy Mac'],,Enerji
#itsEazy,['Eazy Mac'],,Enerji
#iwokeuplikethis,Butcher Babies,groove metal,Üzüntü
#longlivesteelo,Joey Bada$$,hip hop,Aşk
#miles,['skaiwater'],jersey club,Üzüntü
#sftw,['Autumn!'],underground hip hop,Aşk
#thatPOWER,"['will.i.am', 'Justin Bieber']",,Enerji
#with_you,D'avant,,Üzüntü
$,['Ty Dolla $ign'],trap soul,Enerji
$,Prince,funk,Mutluluk
$,['Ty Dolla $ign'],trap soul,Enerji
$$$,['Daniela Andrade'],,Aşk
$$$,['Eyka'],,Aşk
$$$,Vundabar,,Aşk
$$$,['XXXTENTACION'],emo rap,Aşk
$$$ - Remix,Saramalacara,hyperpop,Mutluluk
$$$ - with Matt Ox,"['XXXTENTACION', 'Matt Ox']",emo rap,Aşk
$1 One Vote!,The The,new wave,Aşk
"$1,000,000,000",Everyone Everywhere,midwest emo,Aşk
$10,Good Morning,lo-fi indie,Mutluluk
$10 Bill,['Cop Shoot Cop'],noise rock,Üzüntü
$100 Dollar Bill Y'all,Ice Cube,gangster rap,Mutluluk
$100 Groom,Paul Westerberg,power pop,Aşk
"$100,000 In Pennies",['Bobby Bare'],classic country,Aşk
"$100,000.00",['Trooper'],,Mutluluk
$1000 Bender,Get Dead,folk punk,Mutluluk
$1000 High Heel Shoes,Alice Cooper,glam rock,Aşk
$1000 Wedding,['Gram Parsons'],country rock,Üzüntü
$1000 Wedding - Remastered Version,['Gram Parsons'],country rock,Üzüntü
$150 / roll widdit,['Healy'],,Üzüntü
"$2,400,000",Bomb the Music Industry!,folk punk,Üzüntü
$20,boygenius,,Enerji
$20,['boygenius'],,Enerji
$20 Bill,Corporate Avenger,rap metal,Üzüntü
$20 Fine,['Jimi Hendrix'],psychedelic rock,Enerji
$20 Mints,['Niiice.'],midwest emo,Üzüntü
$2000 Guarantee,['Know The Score'],hardcore,Aşk
$29.00,['Tom Waits'],singer-songwriter,Üzüntü
$35,['The Aluminum Group'],,Üzüntü
$4.25$,['Happy Campers'],skate punk,Mutluluk
$4.95,['Lords Of Altamont'],garage rock,Aşk
$4.95,The Lords of Altamont,garage rock,Aşk
$5 Subtweet,Pool Kids,midwest emo,Enerji
$50 Dollars and a Flask of Crown,['Bleu Edmondson'],texas country,Mutluluk
"$50,000,000",Can't Swim,pop punk,Enerji
$500 Ounces,"['Westside Gunn', 'Freddie Gibbs', 'Roc Marciano']",,Aşk
$500 Ounces (feat. Freddie Gibbs & Roc Marciano),['Westside Gunn'],boom bap,Aşk
$7,Benjamin Dakota Rogers,southern gothic,Üzüntü
"$999,999 + $1= A Mealticket",['E-40'],hyphy,Aşk
$Dreams,Max Frost,,Mutluluk
$IP,"['Qveen Herby', 'Sonyae']",,Enerji
$Intro,['Ty Dolla $ign'],trap soul,Aşk
$Intro,['Ty Dolla $ign'],trap soul,Aşk
$Outh $Ide $Uicide,['$uicideboy$'],emo rap,Üzüntü
$TING,['The Neighbourhood'],,Aşk
$Uicider,$uicideboy$,emo rap,Üzüntü
$abundance$,['Kita Mahal'],,Sakinlik
$ave Dat Money (Jersey Club),Kyle Edwards;DJ Smallz 732,jersey club,Enerji
$ave Dat Money (feat. Fetty Wap & Rich Homie Quan),Lil Dicky;Fetty Wap;Rich Homie Quan,,Aşk
$ave Dat Money (feat. Fetty Wap & Rich Homie Quan),Lil Dicky,,Aşk
$ecret,['Goapele'],neo soul,Üzüntü
$even,['Yeek'],bedroom pop,Aşk
$hort Dog Wedding,['Too $hort'],hyphy,Mutluluk
$horty $tory,['Mir Fontane'],,Mutluluk
$money Mantra$,['Moonlight Scorpio'],,Aşk
$ouls in The City Part 2,A Certain Ratio,post-punk,Enerji
$outh $ide $uicide,"['$uicideBoy$', 'Pouya']",emo rap,Üzüntü
$outh $ide $uicide,"['$uicideBoy$', 'Pouya']",emo rap,Üzüntü
$tars and I feel alone,Vluestar,,Üzüntü
$uicideboy$ Were Better In 2015,$uicideboy$,emo rap,Üzüntü
$umn$light,['KA$HDAMI'],,Enerji
$weet n $our,K. Forest,trap soul,Mutluluk
"%%%% (feat. Lucki, Deezy)",Lil Tracy,emo rap,Aşk
&,['Tally Hall'],,Mutluluk
&,Pinegrove,midwest emo,Üzüntü
& Away We Go - WawMart Studios,['WawMart'],cloud rap,Aşk
& Down - Siriusmo vs Boys Noize Remix,Boys Noize,electro house,Enerji
& It Was U,How To Dress Well,alternative r&b,Aşk
& On & On & On,['Born Ruffians'],,Aşk
& She Drinks Tea Just for the Company,Edwin Raphael,,Üzüntü
&.,Le Youth,melodic house,Enerji
&Run,['Sir Sly'],,Aşk
&Run - K.Flay Remix,Sir Sly,,Aşk
&Z (feat. mizuki),SawanoHiroyuki[nZk],,Aşk
&burn (with Vince Staples),Billie Eilish,,Üzüntü
&burn (with Vince Staples),"['Billie Eilish', 'Vince Staples']",,Üzüntü
' Cello Song,Nick Drake,folk,Aşk
' Cello Song,['Nick Drake'],folk,Aşk
' Cello Song,Fontaines D.C.,post-punk,Üzüntü
'01: Have You Seen It in the Snow?,['The Magnetic Fields'],anti-folk,Üzüntü
'02: Be True to Your Bar,['The Magnetic Fields'],anti-folk,Aşk
'05 Ipod,['JZAC'],,Üzüntü
'05: Never Again,['The Magnetic Fields'],anti-folk,Aşk
"'06: ""Quotes""",['The Magnetic Fields'],anti-folk,Aşk
'12: You Can Never Go Back to New York,['The Magnetic Fields'],anti-folk,Mutluluk
'13: Big Enough for Both of Us,['The Magnetic Fields'],anti-folk,Aşk
'39,['Queen'],classic rock,Aşk
'39 - 2011 Mix,['Queen'],classic rock,Üzüntü
'39 - 2011 Mix,['Queen'],classic rock,Üzüntü
'39 - 2011 Mix,Queen,classic rock,Aşk
'39 - 2011 Mix,Queen,classic rock,Aşk
"'39 - Live At Earl’s Court, London / June 1977",['Queen'],classic rock,Üzüntü
'49 Mercury Blues,The Brian Setzer Orchestra,rockabilly,Mutluluk
'49 Mercury Blues - Live,Brian Setzer,rockabilly,Aşk
'52 Ford,Murder By Death,southern gothic,Mutluluk
'57 Chevrolet,['Billie Jo Spears'],classic country,Aşk
'59,['Brian Setzer'],rockabilly,Aşk
'59,Brian Setzer,rockabilly,Aşk
'59 Cadillac '57 Chevrolet,['David Allan Coe'],outlaw country,Aşk
'59 Volvo,['Emmy Lou and The Rhythm Boys'],rockabilly,Mutluluk
'64 aka Go,Lemon Jelly,downtempo,Üzüntü
'65 Love Affair,['Paul Davis'],yacht rock,Enerji
'65 Love Affair,['Paul Davis'],yacht rock,Enerji
'65 Love Affair,['Paul Davis'],yacht rock,Enerji
'65 Love Affair - Single Version,['Paul Davis'],yacht rock,Mutluluk
'66: Wonder Where I'm From,['The Magnetic Fields'],anti-folk,Aşk
'67 Pontiac Firebird,Good Tiger,djent,Üzüntü
'67: Come Back as a Cockroach,['The Magnetic Fields'],anti-folk,Enerji
'68 Fastback,['Zach Bryan'],country,Üzüntü
'68 Fastback - Live,Zach Bryan,country,Üzüntü
'68 aka Only Time,Lemon Jelly,downtempo,Enerji
'68: A Cat Called Dionysus,['The Magnetic Fields'],anti-folk,Aşk
'69 Corvette (feat. Mark O' Connor),Jonathan Wilson,neo-psychedelic,Üzüntü
'69: Judy Garland,['The Magnetic Fields'],anti-folk,Aşk
'70: They're Killing Children Over There,['The Magnetic Fields'],anti-folk,Üzüntü
'71 Charger,Loreen,europop,Üzüntü
'71: I Think I'll Make Another World,['The Magnetic Fields'],anti-folk,Üzüntü
'72 Winnebago,['Steve Moakler'],,Enerji
'72: Eye Contact,['The Magnetic Fields'],anti-folk,Üzüntü
'74 - '75 (feat. Susan Tyler) - Radio Edit,Paolo Pellegrino,latin house,Aşk
'74-'75,['The Connells'],jangle pop,Aşk
'74-'75,['The Connells'],jangle pop,Aşk
'74: No,['The Magnetic Fields'],anti-folk,Aşk
'75 aka Stay With You,Lemon Jelly,downtempo,Enerji
'75 aka Stay With You,['Lemon Jelly'],downtempo,Enerji
'75: My Mama Ain't,['The Magnetic Fields'],anti-folk,Mutluluk
'78: The Blizzard of '78,['The Magnetic Fields'],anti-folk,Mutluluk
'79,['Heavy Cream'],garage rock,Üzüntü
'79 aka The Shouty Track,Lemon Jelly,downtempo,Üzüntü
'79 aka The Shouty Track,Lemon Jelly,downtempo,Üzüntü
'81: How to Play the Synthesizer,['The Magnetic Fields'],anti-folk,Aşk
'82,Stone Sour,post-grunge,Aşk
'82: Happy Beeping,['The Magnetic Fields'],anti-folk,Mutluluk
'83 Wildin,['Edan'],experimental hip hop,Üzüntü
'83: Foxx and I,['The Magnetic Fields'],anti-folk,Enerji
'84: Danceteria!,['The Magnetic Fields'],anti-folk,Enerji
'85: Why I Am Not a Teenager,['The Magnetic Fields'],anti-folk,Mutluluk
'86 buick,['Pryde'],,Mutluluk
'86: How I Failed Ethics,['The Magnetic Fields'],anti-folk,Sakinlik
'87,The Bouncing Souls,punk,Mutluluk
'87: At the Pyramid,['The Magnetic Fields'],anti-folk,Üzüntü
'88 aka Come Down On Me,Lemon Jelly,downtempo,Üzüntü
'88 aka Come Down On Me,Lemon Jelly,downtempo,Üzüntü
'88: Ethan Frome,['The Magnetic Fields'],anti-folk,Aşk
'89: The 1989 Musical Marching Zoo,['The Magnetic Fields'],anti-folk,Aşk
'90: Dreaming in Tetris,['The Magnetic Fields'],anti-folk,Üzüntü
